City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,chamalieres,45.7756,3.0631,7.4,87,100,2.06,FR,2024-04-09 03:10:10
98,tiksi,71.6872,128.8694,-7.32,83,100,10.24,RU,2024-04-09 03:10:10
99,fale old settlement,-9.3852,-171.2468,30.3,73,12,4.76,TK,2024-04-09 03:10:10
100,crane,31.3974,-102.3501,20.45,65,63,9.5,US,2024-04-09 03:10:10
101,tual,-5.6667,132.75,25.53,89,100,1.22,ID,2024-04-09 03:10:10
102,miyazu,35.5333,135.1833,9.11,92,100,6.17,JP,2024-04-09 03:06:04
103,sebastopol,44.6,33.5333,13.37,55,5,2.88,UA,2024-04-09 03:10:10
104,carolina beach,34.0352,-77.8936,17.23,78,23,4.12,US,2024-04-09 03:07:47
105,anadyr,64.75,177.4833,-8.72,56,75,6.71,RU,2024-04-09 03:10:11
106,enewetak,11.3474,162.3373,27.46,80,100,9.36,MH,2024-04-09 03:10:11
107,orai,25.9833,79.4667,31.01,23,100,2.78,IN,2024-04-09 03:10:11
108,puerto ayora,-0.7393,-90.3518,25.34,90,21,2.26,EC,2024-04-09 03:10:11
109,zaozersk,69.4005,32.4476,-4.54,96,100,1.66,RU,2024-04-09 03:10:11
110,okhotsk,59.3833,143.3,-1.21,78,19,2.92,RU,2024-04-09 03:10:11
111,santa ana de yacuma,-13.75,-65.4333,25.6,86,99,2.3,BO,2024-04-09 03:10:11
112,socorro,31.6546,-106.3033,21.56,8,75,4.63,US,2024-04-09 03:05:59
113,praia da vitoria,38.7333,-27.0667,17.09,98,77,6.58,PT,2024-04-09 03:10:12
114,college,64.8569,-147.8028,2.18,69,75,5.66,US,2024-04-09 03:10:12
115,bodo,67.28,14.405,5.02,93,75,2.57,NO,2024-04-09 03:10:12
116,hampton bays,40.869,-72.5176,10.03,77,0,6.26,US,2024-04-09 03:10:12
117,ermelo,-26.5333,29.9833,13.64,96,100,4.66,ZA,2024-04-09 03:10:12
118,utrik,11.2278,169.8474,26.74,81,86,9.95,MH,2024-04-09 03:10:12
119,guerrero negro,27.9769,-114.0611,15.08,65,2,8.98,MX,2024-04-09 03:09:06
120,nordholz,53.7833,8.6,13.79,100,100,4.12,DE,2024-04-09 03:10:12
121,moyale,3.5167,39.0584,20.91,87,100,1.98,KE,2024-04-09 03:10:12
122,fontenay-le-comte,46.5833,-1.0,10.8,85,5,5.39,FR,2024-04-09 03:10:12
123,chonchi,-42.6128,-73.8092,4.56,82,6,1.39,CL,2024-04-09 03:10:13
124,puerto aysen,-45.4,-72.7,1.86,94,74,1.9,CL,2024-04-09 03:05:23
125,pesqueira,-8.3578,-36.6964,19.3,100,82,1.83,BR,2024-04-09 03:08:33
126,cannonvale,-20.2833,148.7,27.66,61,51,3.4,AU,2024-04-09 03:10:13
127,wanning,18.8003,110.3967,27.75,73,98,1.71,CN,2024-04-09 03:10:13
128,jayapura,-2.5333,140.7,27.66,92,100,2.3,ID,2024-04-09 03:10:13
129,margaret river,-33.95,115.0667,20.66,43,5,4.41,AU,2024-04-09 03:10:13
130,talnakh,69.4865,88.3972,-12.66,88,99,3.17,RU,2024-04-09 03:10:13
131,kapuskasing,49.4169,-82.4331,4.93,95,97,2.6,CA,2024-04-09 03:10:13
132,yala,6.3333,101.25,33.11,51,69,2.4,TH,2024-04-09 03:10:13
133,fazilka,30.4,74.0333,28.6,12,100,3.89,IN,2024-04-09 03:06:19
134,la passe,45.5549,-0.8967,10.55,73,6,8.55,FR,2024-04-09 03:10:14
135,lerwick,60.1545,-1.1494,5.0,87,100,4.21,GB,2024-04-09 03:10:14
136,zakamensk,50.3741,103.2863,6.18,76,100,0.16,RU,2024-04-09 03:10:14
